dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave
1,A7A3800166,A7,A38,A38,False,False,438.0,468.90944688290284,12.909446882902841,0.0,963.5826882774412,corto_radio
1,A40A2200426,A40,A22,A22,False,False,431.0,470.07025063512003,16.070250635120033,0.0,1486.3693059575999,corto_radio
1,A34A700163,A34,A7,A7,False,False,421.0,470.3169486205591,13.316948620559117,0.0,1814.4599535071004,corto_radio
1,A45A600143,A45,A6,A6,False,False,402.0,472.6955537844162,16.695553784416177,0.0,3507.6745996240174,medio_radio
1,A41A1700357,A41,A17,A17,False,False,427.0,477.8965240608647,13.896524060864692,0.0,1998.3183365496436,corto_radio
1,A45A4700600,A45,A47,A47,False,False,415.0,477.9367540155994,18.936754015599377,0.0,2706.929032227747,corto_radio
1,A48A3800571,A48,A38,A38,False,False,429.0,479.39949124254457,17.39949124254457,0.0,2114.3440944947993,corto_radio
1,A44A1300294,A44,A13,A13,False,False,365.0,481.76729793278867,12.767297932788665,0.0,5738.232229024657,medio_radio
1,A33A200041,A33,A2,A2,False,False,428.0,482.71343242930016,14.713432429300155,0.0,2254.384879661739,corto_radio
1,A37A2800497,A37,A28,A28,False,False,401.0,484.9033117558297,12.90331175582969,0.0,4015.138785255195,medio_radio
1,A24A3000451,A24,A30,A30,False,False,404.0,488.21162150887034,12.211621508870337,0.0,4072.7184077598577,medio_radio
1,A39A3300535,A39,A33,A33,False,False,431.0,488.7719402901124,16.77194029011241,0.0,2259.955349904781,corto_radio
1,A36A4700563,A36,A47,A47,False,False,406.0,491.0,21.0,0.0,4319.704440173764,medio_radio
1,A38A4800570,A38,A48,A48,False,False,441.0,491.12859243364363,17.128592433643632,0.0,2057.2304307299646,corto_radio
1,A38A4500568,A38,A45,A45,False,False,449.0,493.33070370267944,16.330703702679443,0.0,1738.314687623599,corto_radio
1,A35A4300554,A35,A43,A43,False,False,426.0,495.6051988198544,11.605198819854422,0.0,3271.120957824529,medio_radio
1,A45A2300444,A45,A23,A23,False,False,445.0,496.0,20.0,0.0,1902.957734718859,corto_radio
1,A41A3900572,A41,A39,A39,False,False,466.0,496.9727534017698,13.972753401769808,0.0,981.2019996831688,corto_radio
1,A3A1300052,A3,A13,A13,False,False,372.0,497.59917727308505,16.599177273085047,0.0,6051.667884269374,medio_radio
1,A28EXTERIOR00494,A28,EXTERIOR,EXTERIOR,False,True,360.0,498.4251290877797,3.4251290877796805,0.0,7508.433734939759,medio_radio
1,A17A2100344,A17,A21,A21,False,False,455.0,500.18341419576194,17.18341419576194,0.0,1837.3338233146815,corto_radio
1,A5A1900106,A5,A19,A19,False,False,429.0,500.4699935231411,17.469993523141113,0.0,3560.571768717804,medio_radio
1,A43A100016,A43,A1,A1,False,False,437.0,501.0370456696552,10.037045669655186,0.0,2889.3878488576356,medio_radio
1,A7A4000168,A7,A40,A40,False,False,451.0,501.6191830854876,12.619183085487578,0.0,1923.4799144012525,corto_radio
